Site;Année;Semaine;Mois;Machine;Gaz (kWh);PE (kg)
PTWE35;2023;1;1;F4B;0.0;2027.338
PTWE35;2023;1;1;M1;0.0;6067.32
PTWE35;2023;1;1;M2;0.0;4435.2
PTWE35;2023;1;1;M3;0.0;3978.48
PTWE35;2023;1;1;M8;0.0;8140.792
PTWE35;2023;1;1;RM2400;0.0;1485.2
PTWE35;2023;1;1;RM4500;0.0;3062.4
PTWE35;2023;2;1;F4B;0.0;3697.11
PTWE35;2023;2;1;M1;0.0;11801.503999999999
PTWE35;2023;2;1;M2;0.0;12291.84
PTWE35;2023;2;1;M3;0.0;12176.56
PTWE35;2023;2;1;M8;0.0;12783.408
PTWE35;2023;2;1;RM2400;0.0;4887.0
PTWE35;2023;2;1;RM4500;0.0;4195.84
PTWE35;2023;3;1;F4B;0.0;3498.1
PTWE35;2023;3;1;FB;0.0;365.0
PTWE35;2023;3;1;M1;0.0;10257.696
PTWE35;2023;3;1;M2;0.0;12672.0
PTWE35;2023;3;1;M3;0.0;12176.56
PTWE35;2023;3;1;M8;0.0;20619.192
PTWE35;2023;3;1;RM2400;0.0;4140.0
PTWE35;2023;3;1;RM4500;0.0;6487.36
PTWE35;2023;4;1;F4B;0.0;2693.1
PTWE35;2023;4;1;FB;0.0;1174.0
PTWE35;2023;4;1;M1;0.0;9776.960000000001
PTWE35;2023;4;1;M2;0.0;10755.36
PTWE35;2023;4;1;M3;0.0;9280.32
PTWE35;2023;4;1;M8;0.0;12709.84
PTWE35;2023;4;1;RM2400;0.0;4252.5
PTWE35;2023;4;1;RM4500;0.0;9458.24
PTWE35;2023;5;1;F3B;0.0;499.3
PTWE35;2023;5;1;F4B;0.0;2453.5
PTWE35;2023;5;1;FB;0.0;432.0
PTWE35;2023;5;1;M1;0.0;9152.0
PTWE35;2023;5;1;M2;0.0;9757.44
PTWE35;2023;5;1;M3;0.0;9035.28
PTWE35;2023;5;1;M8;0.0;11283.36
PTWE35;2023;5;1;RM2400;0.0;2760.0
PTWE35;2023;5;1;RM4500;0.0;8634.56
PTWE35;2023;6;2;F3B;0.0;652.0
PTWE35;2023;6;2;F4B;0.0;3613.2
PTWE35;2023;6;2;FB;0.0;1204.0
PTWE35;2023;6;2;M1;0.0;9881.2
PTWE35;2023;6;2;M2;0.0;12041.92
PTWE35;2023;6;2;M3;0.0;12416.56
PTWE35;2023;6;2;M8;0.0;12087.24
PTWE35;2023;6;2;RM2400;0.0;4612.5
PTWE35;2023;6;2;RM4500;0.0;2038.08
PTWE35;2023;7;2;F3B;0.0;861.25
PTWE35;2023;7;2;F4B;0.0;2612.0
PTWE35;2023;7;2;FB;0.0;110.0
PTWE35;2023;7;2;M1;0.0;12952.72
PTWE35;2023;7;2;M2;0.0;17991.6
PTWE35;2023;7;2;M3;0.0;8439.199999999999
PTWE35;2023;7;2;M8;0.0;14248.344
PTWE35;2023;7;2;RM2400;0.0;4792.5
PTWE35;2023;7;2;RM4500;0.0;4329.6
PTWE35;2023;8;2;F3B;0.0;679.7
PTWE35;2023;8;2;F4B;0.0;3286.5
PTWE35;2023;8;2;FB;0.0;476.0
PTWE35;2023;8;2;M1;0.0;12339.6
PTWE35;2023;8;2;M2;0.0;12798.72
PTWE35;2023;8;2;M3;0.0;11573.76
PTWE35;2023;8;2;M8;0.0;10655.24
PTWE35;2023;8;2;RM2400;0.0;5327.5
PTWE35;2023;8;2;RM4500;0.0;6561.28
PTWE35;2023;9;2;F3B;0.0;544.05
PTWE35;2023;9;2;F4B;0.0;3077.8
PTWE35;2023;9;2;M1;0.0;8964.44
PTWE35;2023;9;2;M2;0.0;8039.68
PTWE35;2023;9;2;M3;0.0;8766.56
PTWE35;2023;9;2;M8;0.0;8940.84
PTWE35;2023;9;2;RM2400;0.0;3997.5
PTWE35;2023;9;2;RM4500;0.0;5818.5599999999995
PTWE35;2023;10;3;F3B;0.0;982.05
PTWE35;2023;10;3;F4B;0.0;6653.744
PTWE35;2023;10;3;FB;0.0;1587.0
PTWE35;2023;10;3;M1;0.0;15624.4
PTWE35;2023;10;3;M2;0.0;16220.16
PTWE35;2023;10;3;M3;0.0;14105.52
PTWE35;2023;10;3;M8;0.0;23152.8
PTWE35;2023;10;3;RM2400;0.0;6435.0
PTWE35;2023;10;3;RM4500;0.0;9929.92
PTWE35;2023;11;3;F3B;0.0;1229.75
PTWE35;2023;11;3;F4B;0.0;4501.8
PTWE35;2023;11;3;FB;0.0;1831.0
PTWE35;2023;11;3;M1;0.0;8454.84
PTWE35;2023;11;3;M2;0.0;12418.56
PTWE35;2023;11;3;M3;0.0;12056.0
PTWE35;2023;11;3;M8;0.0;11595.584
PTWE35;2023;11;3;RM2400;0.0;3787.5
PTWE35;2023;11;3;RM4500;0.0;6240.96
PTWE35;2023;12;3;F3B;0.0;1020.8
PTWE35;2023;12;3;F4B;0.0;4099.7
PTWE35;2023;12;3;FB;0.0;1475.0
PTWE35;2023;12;3;M1;0.0;10320.904
PTWE35;2023;12;3;M2;0.0;11024.64
PTWE35;2023;12;3;M3;0.0;11935.439999999999
PTWE35;2023;12;3;M8;0.0;15399.119999999999
PTWE35;2023;12;3;RM2400;0.0;4507.5
PTWE35;2023;12;3;RM4500;0.0;5857.28
PTWE35;2023;13;3;F3B;0.0;1384.25
PTWE35;2023;13;3;F4B;0.0;4170.1
PTWE35;2023;13;3;FB;0.0;819.0
PTWE35;2023;13;3;M1;0.0;10284.4
PTWE35;2023;13;3;M2;0.0;12165.119999999999
PTWE35;2023;13;3;M3;0.0;9885.92
PTWE35;2023;13;3;M8;0.0;13233.088
PTWE35;2023;13;3;RM2400;0.0;4658.5
PTWE35;2023;13;3;RM4500;0.0;4392.96
PTWE35;2023;14;4;F3B;0.0;1177.75
PTWE35;2023;14;4;F4B;0.0;3222.0
PTWE35;2023;14;4;FB;0.0;753.5
PTWE35;2023;14;4;M1;0.0;7031.2
PTWE35;2023;14;4;M2;0.0;7983.36
PTWE35;2023;14;4;M3;0.0;8077.5199999999995
PTWE35;2023;14;4;M8;0.0;5783.536
PTWE35;2023;14;4;RM2400;0.0;3124.5
PTWE35;2023;14;4;RM4500;0.0;3333.44
PTWE35;2023;15;4;F3B;0.0;844.85
PTWE35;2023;15;4;F4B;0.0;3182.0
PTWE35;2023;15;4;FB;0.0;823.0
PTWE35;2023;15;4;M1;0.0;6033.64
PTWE35;2023;15;4;M2;0.0;8490.24
PTWE35;2023;15;4;M3;0.0;7113.04
PTWE35;2023;15;4;M8;0.0;7406.256
PTWE35;2023;15;4;RM2400;0.0;2829.0
PTWE35;2023;15;4;RM4500;0.0;3984.64
PTWE35;2023;16;4;F3B;0.0;505.25
PTWE35;2023;16;4;F4B;0.0;3932.548
PTWE35;2023;16;4;FB;0.0;56.0
PTWE35;2023;16;4;M1;0.0;11515.096
PTWE35;2023;16;4;M2;0.0;13052.16
PTWE35;2023;16;4;M3;0.0;7715.84
PTWE35;2023;16;4;M8;0.0;9106.592
PTWE35;2023;16;4;RM2400;0.0;3176.9
PTWE35;2023;16;4;RM4500;0.0;7036.48
PTWE35;2023;17;4;F3B;0.0;839.01
PTWE35;2023;17;4;F4B;0.0;3836.958
PTWE35;2023;17;4;M1;0.0;9349.576000000001
PTWE35;2023;17;4;M2;0.0;6842.88
PTWE35;2023;17;4;M3;0.0;11212.08
PTWE35;2023;17;4;M8;0.0;16529.832
PTWE35;2023;17;4;RM2400;0.0;3096.0
PTWE35;2023;17;4;RM4500;0.0;7399.04
PTWE35;2023;18;4;F3B;0.0;561.545
PTWE35;2023;18;4;F4B;0.0;1934.5
PTWE35;2023;18;4;FB;0.0;228.0
PTWE35;2023;18;4;M1;0.0;3267.264
PTWE35;2023;18;4;M2;0.0;7349.76
PTWE35;2023;18;4;M3;0.0;6510.240000000001
PTWE35;2023;18;4;M8;0.0;6005.208
PTWE35;2023;18;4;RM2400;0.0;1802.6
PTWE35;2023;18;4;RM4500;0.0;3608.0
PTWE35;2023;19;5;F3B;0.0;1025.77
PTWE35;2023;19;5;F4B;0.0;1996.35
PTWE35;2023;19;5;FB;0.0;606.0
PTWE35;2023;19;5;M1;0.0;6438.2
PTWE35;2023;19;5;M2;0.0;9250.56
PTWE35;2023;19;5;M3;0.0;9162.56
PTWE35;2023;19;5;M8;0.0;8573.4
PTWE35;2023;19;5;RM2400;0.0;3581.8
PTWE35;2023;19;5;RM4500;0.0;3657.2799999999997
PTWE35;2023;20;5;F3B;0.0;469.67
PTWE35;2023;20;5;F4B;0.0;2359.2
PTWE35;2023;20;5;FB;0.0;150.0
PTWE35;2023;20;5;M1;0.0;6662.56
PTWE35;2023;20;5;M2;0.0;7349.76
PTWE35;2023;20;5;M3;0.0;7233.6
PTWE35;2023;20;5;M8;0.0;6819.031999999999
PTWE35;2023;20;5;RM2400;0.0;2610.0
PTWE35;2023;20;5;RM4500;0.0;3065.92
PTWE35;2023;21;5;F3B;0.0;881.4
PTWE35;2023;21;5;F4B;0.0;2359.082
PTWE35;2023;21;5;FB;0.0;308.0
PTWE35;2023;21;5;M1;0.0;10380.8
PTWE35;2023;21;5;M2;0.0;11658.24
PTWE35;2023;21;5;M3;0.0;11091.52
PTWE35;2023;21;5;M8;0.0;10893.08
PTWE35;2023;21;5;RM2400;0.0;5205.0
PTWE35;2023;21;5;RM4500;0.0;4005.76
PTWE35;2023;22;5;F3B;0.0;1630.33
PTWE35;2023;22;5;F4B;0.0;3093.9
PTWE35;2023;22;5;FB;0.0;63.0
PTWE35;2023;22;5;M1;0.0;10497.72
PTWE35;2023;22;5;M2;0.0;12165.119999999999
PTWE35;2023;22;5;M3;0.0;11935.439999999999
PTWE35;2023;22;5;M8;0.0;13593.36
PTWE35;2023;22;5;RM2400;0.0;5190.0
PTWE35;2023;22;5;RM4500;0.0;10845.12
PTWE35;2023;23;6;F3B;0.0;2656.0
PTWE35;2023;23;6;F4B;0.0;2869.315
PTWE35;2023;23;6;FB;0.0;496.0
PTWE35;2023;23;6;M1;0.0;9563.84
PTWE35;2023;23;6;M2;0.0;9630.72
PTWE35;2023;23;6;M3;0.0;9644.8
PTWE35;2023;23;6;M8;0.0;11842.248
PTWE35;2023;23;6;RM2400;0.0;3630.0
PTWE35;2023;23;6;RM4500;0.0;4741.4400000000005
PTWE35;2023;24;6;F3B;0.0;3347.55
PTWE35;2023;24;6;F4B;0.0;3662.66
PTWE35;2023;24;6;FB;0.0;725.0
PTWE35;2023;24;6;M1;0.0;12090.32
PTWE35;2023;24;6;M2;0.0;12798.72
PTWE35;2023;24;6;M3;0.0;12056.0
PTWE35;2023;24;6;M8;0.0;13260.368
PTWE35;2023;24;6;RM2400;0.0;4132.5
PTWE35;2023;24;6;RM4500;0.0;5290.5599999999995
PTWE35;2023;25;6;F3B;0.0;2230.6
PTWE35;2023;25;6;F4B;0.0;3592.24
PTWE35;2023;25;6;FB;0.0;874.0
PTWE35;2023;25;6;M1;0.0;11467.28
PTWE35;2023;25;6;M2;0.0;11911.68
PTWE35;2023;25;6;M3;0.0;11573.76
PTWE35;2023;25;6;M8;0.0;12226.456
PTWE35;2023;25;6;RM2400;0.0;4659.0
PTWE35;2023;25;6;RM4500;0.0;2816.0
PTWE35;2023;26;6;F3B;0.0;808.75
PTWE35;2023;26;6;F4B;0.0;3036.6
PTWE35;2023;26;6;M1;0.0;5476.16
PTWE35;2023;26;6;M2;0.0;9630.720000000001
PTWE35;2023;26;6;M3;0.0;8077.52
PTWE35;2023;26;6;M8;0.0;8679.576000000001
PTWE35;2023;26;6;RM2400;0.0;4260.8
PTWE35;2023;26;6;RM4500;0.0;2865.2799999999997
PTWE35;2023;27;7;F3B;0.0;1071.5
PTWE35;2023;27;7;F4B;0.0;3882.86
PTWE35;2023;27;7;FB;0.0;1368.0
PTWE35;2023;27;7;M1;0.0;15017.112000000001
PTWE35;2023;27;7;M2;0.0;14826.24
PTWE35;2023;27;7;M3;0.0;14828.880000000001
PTWE35;2023;27;7;M8;0.0;13052.528
PTWE35;2023;27;7;RM2400;0.0;5528.0
PTWE35;2023;27;7;RM4500;0.0;6473.28
PTWE35;2023;28;7;F4B;0.0;2137.35
PTWE35;2023;28;7;FB;0.0;628.0
PTWE35;2023;28;7;M1;0.0;6331.84
PTWE35;2023;28;7;M2;0.0;7349.76
PTWE35;2023;28;7;M3;0.0;6992.48
PTWE35;2023;28;7;M8;0.0;6250.200000000001
PTWE35;2023;28;7;RM2400;0.0;2505.0
PTWE35;2023;28;7;RM4500;0.0;4649.92
PTWE35;2023;29;7;F3B;0.0;1591.0
PTWE35;2023;29;7;F4B;0.0;3854.27
PTWE35;2023;29;7;FB;0.0;585.0
PTWE35;2023;29;7;M1;0.0;11486.64
PTWE35;2023;29;7;M2;0.0;11278.08
PTWE35;2023;29;7;M3;0.0;10729.84
PTWE35;2023;29;7;M8;0.0;9762.104
PTWE35;2023;29;7;RM2400;0.0;5085.0
PTWE35;2023;29;7;RM4500;0.0;8279.04
PTWE35;2023;30;7;F3B;0.0;2270.9
PTWE35;2023;30;7;F4B;0.0;3344.6
PTWE35;2023;30;7;FB;0.0;440.0
PTWE35;2023;30;7;M1;0.0;8905.2
PTWE35;2023;30;7;M2;0.0;10391.04
PTWE35;2023;30;7;M3;0.0;9403.68
PTWE35;2023;30;7;M8;0.0;8581.144
PTWE35;2023;30;7;RM2400;0.0;4929.5
PTWE35;2023;30;7;RM4500;0.0;7948.16
PTWE35;2023;31;7;F3B;0.0;2173.3
PTWE35;2023;31;7;F4B;0.0;3899.11
PTWE35;2023;31;7;FB;0.0;212.0
PTWE35;2023;31;7;M1;0.0;11095.92
PTWE35;2023;31;7;M2;0.0;11531.52
PTWE35;2023;31;7;M3;0.0;11091.52
PTWE35;2023;31;7;M8;0.0;11847.264
PTWE35;2023;31;7;RM2400;0.0;5087.4
PTWE35;2023;31;7;RM4500;0.0;5765.76
PTWE35;2023;35;8;F3B;0.0;1690.6
PTWE35;2023;35;8;F4B;0.0;3694.52
PTWE35;2023;35;8;FB;0.0;201.0
PTWE35;2023;35;8;M1;0.0;8103.704
PTWE35;2023;35;8;M2;0.0;8363.52
PTWE35;2023;35;8;M3;0.0;6992.48
PTWE35;2023;35;8;M8;0.0;11493.592
PTWE35;2023;35;8;RM2400;0.0;4823.4
PTWE35;2023;35;8;RM4500;0.0;4928.0
PTWE35;2023;36;9;F3B;0.0;1274.45
PTWE35;2023;36;9;F4B;0.0;3082.36
PTWE35;2023;36;9;FB;0.0;984.0
PTWE35;2023;36;9;M1;0.0;9579.68
PTWE35;2023;36;9;M2;0.0;7729.92
PTWE35;2023;36;9;M3;0.0;7836.4
PTWE35;2023;36;9;M8;0.0;9451.64
PTWE35;2023;36;9;RM2400;0.0;3614.5
PTWE35;2023;36;9;RM4500;0.0;8923.2
PTWE35;2023;37;9;F3B;0.0;1371.05
PTWE35;2023;37;9;F4B;0.0;3460.06
PTWE35;2023;37;9;FB;0.0;1323.0
PTWE35;2023;37;9;M1;0.0;9943.72
PTWE35;2023;37;9;M2;0.0;10137.599999999999
PTWE35;2023;37;9;M3;0.0;9885.92
PTWE35;2023;37;9;M8;0.0;13046.088
PTWE35;2023;37;9;RM2400;0.0;2697.5
PTWE35;2023;37;9;RM4500;0.0;13685.76
PTWE35;2023;38;9;F3B;0.0;849.45
PTWE35;2023;38;9;F4B;0.0;3624.8
PTWE35;2023;38;9;FB;0.0;1597.0
PTWE35;2023;38;9;M1;0.0;4557.168
PTWE35;2023;38;9;M2;0.0;9123.84
PTWE35;2023;38;9;M3;0.0;9403.68
PTWE35;2023;38;9;M8;0.0;11064.504
PTWE35;2023;38;9;RM2400;0.0;3097.5
PTWE35;2023;38;9;RM4500;0.0;10869.76
PTWE35;2023;39;9;F4B;0.0;3898.1
PTWE35;2023;39;9;FB;0.0;1737.0
PTWE35;2023;39;9;M1;0.0;6417.648
PTWE35;2023;39;9;M2;0.0;8616.96
PTWE35;2023;39;9;M3;0.0;9403.68
PTWE35;2023;39;9;M8;0.0;12711.776
PTWE35;2023;39;9;RM2400;0.0;2490.0
PTWE35;2023;39;9;RM4500;0.0;9137.92
PTWE35;2023;40;10;F4B;0.0;4151.6
PTWE35;2023;40;10;FB;0.0;285.0
PTWE35;2023;40;10;M1;0.0;13033.76
PTWE35;2023;40;10;M2;0.0;11911.68
PTWE35;2023;40;10;M3;0.0;11453.2
PTWE35;2023;40;10;M8;0.0;14798.96
PTWE35;2023;40;10;RM2400;0.0;4006.2
PTWE35;2023;40;10;RM4500;0.0;4759.04
PTWE35;2023;41;10;F4B;0.0;2638.7
PTWE35;2023;41;10;M1;0.0;9276.880000000001
PTWE35;2023;41;10;M2;0.0;7729.92
PTWE35;2023;41;10;M3;0.0;6510.24
PTWE35;2023;41;10;M8;0.0;10592.56
PTWE35;2023;41;10;RM2400;0.0;2336.2
PTWE35;2023;41;10;RM4500;0.0;5061.76
PTWE35;2023;42;10;F4B;0.0;3444.0
PTWE35;2023;42;10;FB;0.0;936.0
PTWE35;2023;42;10;M1;0.0;10130.56
PTWE35;2023;42;10;M2;0.0;9884.16
PTWE35;2023;42;10;M3;0.0;11453.2
PTWE35;2023;42;10;M8;0.0;10986.712
PTWE35;2023;42;10;RM2400;0.0;3225.0
PTWE35;2023;42;10;RM4500;0.0;6336.0
PTWE35;2023;43;10;F4B;0.0;3424.0
PTWE35;2023;43;10;FB;0.0;1081.0
PTWE35;2023;43;10;M1;0.0;11847.44
PTWE35;2023;43;10;M2;91787.85;10264.32
PTWE35;2023;43;10;M3;0.0;10970.96
PTWE35;2023;43;10;M8;0.0;9534.887999999999
PTWE35;2023;43;10;RM2400;0.0;2655.0
PTWE35;2023;43;10;RM4500;18202.800000000003;4762.5599999999995
PTWE35;2023;44;10;F3B;0.0;4.2
PTWE35;2023;44;10;F4B;0.0;1330.0
PTWE35;2023;44;10;FB;0.0;216.0
PTWE35;2023;44;10;M1;0.0;5694.52
PTWE35;2023;44;10;M2;0.0;12419.439999999999
PTWE35;2023;44;10;M8;0.0;4875.112
PTWE35;2023;44;10;RM2400;0.0;1837.5
PTWE35;2023;44;10;RM4500;0.0;616.0
PTWE35;2023;45;11;F3B;0.0;1173.1
PTWE35;2023;45;11;F4B;0.0;3672.0
PTWE35;2023;45;11;M1;0.0;8109.76
PTWE35;2023;45;11;M2;0.0;15121.04
PTWE35;2023;45;11;M3;0.0;2531.76
PTWE35;2023;45;11;M8;0.0;10353.464
PTWE35;2023;45;11;RM2400;0.0;4170.0
PTWE35;2023;45;11;RM4500;0.0;2949.76
PTWE35;2023;46;11;F3B;0.0;1741.0
PTWE35;2023;46;11;F4B;0.0;3413.75
PTWE35;2023;46;11;FB;0.0;684.0
PTWE35;2023;46;11;M1;0.0;4213.92
PTWE35;2023;46;11;M2;0.0;10897.92
PTWE35;2023;46;11;M3;0.0;10247.6
PTWE35;2023;46;11;M8;0.0;12813.36
PTWE35;2023;46;11;RM2400;0.0;3757.5
PTWE35;2023;46;11;RM4500;0.0;704.0
PTWE35;2023;47;11;F3B;0.0;1874.1
PTWE35;2023;47;11;F4B;0.0;2742.172
PTWE35;2023;47;11;M1;0.0;2210.72
PTWE35;2023;47;11;M2;39859.05;7983.36
PTWE35;2023;47;11;M3;0.0;8439.2
PTWE35;2023;47;11;M8;0.0;7089.28
PTWE35;2023;47;11;RM2400;0.0;2739.0
PTWE35;2023;47;11;RM4500;10602.900000000001;2421.76
PTWE35;2023;48;11;F3B;0.0;3008.95
PTWE35;2023;48;11;F4B;0.0;3660.0
PTWE35;2023;48;11;FB;0.0;944.0
PTWE35;2023;48;11;M1;0.0;6951.08
PTWE35;2023;48;11;M2;36451.8;18730.8
PTWE35;2023;48;11;M3;0.0;6510.24
PTWE35;2023;48;11;M8;0.0;12871.848
PTWE35;2023;48;11;RM2400;0.0;3580.0
PTWE35;2023;48;11;RM4500;10614.45;3456.64
PTWE35;2023;49;12;F3B;0.0;1240.9
PTWE35;2023;49;12;F4B;0.0;2014.1000000000001
PTWE35;2023;49;12;M1;0.0;2277.44
PTWE35;2023;49;12;M2;0.0;8363.52
PTWE35;2023;49;12;M3;0.0;8077.52
PTWE35;2023;49;12;M8;0.0;9358.008
PTWE35;2023;49;12;RM2400;0.0;3067.5
PTWE35;2023;49;12;RM4500;49988.4;4664.0
PTWE35;2023;50;12;F3B;0.0;1521.85
PTWE35;2023;50;12;F4B;0.0;2925.0
PTWE35;2023;50;12;FB;0.0;612.0
PTWE35;2023;50;12;M1;0.0;5836.4400000000005
PTWE35;2023;50;12;M2;0.0;11949.519999999999
PTWE35;2023;50;12;M3;0.0;1687.84
PTWE35;2023;50;12;M8;0.0;10934.44
